Color	Gene	Number
steelblue	Fam72a	30
tan	Fam73a	12
lightgreen	Fam73b	18
blue	Fam76a	2
midnightblue	Fam76b	15
plum3	Fam78a	78
green	Fam78b	5
violet	Fam81a	32
blue	Fam81b	2
pink	Fam83a	8
turquoise	Fam83b	1
turquoise	Fam83c	1
brown	Fam83d	3
brown	Fam83e	3
purple	Fam83f	10
greenyellow	Fam83g	11
lightsteelblue1	Fam83h	41
magenta4	Fam84a	84
pink4	Fam84b	96
lightcyan	Fam89a	16
grey60	Fam89b	17
turquoise	Fam92a	1
black	Fam96a	7
greenyellow	Fam96b	11
indianred4	Fam98a	72
blue	Fam98b	2
lavenderblush3	Fam98c	57
tan	Fan1	12
sienna3	Fanca	35
darkviolet	Fancb	77
lightgreen	Fancc	18
indianred4	Fancd2	72
lightcyan	Fancd2os	16
greenyellow	Fance	11
mediumpurple1	Fancg	98
antiquewhite4	Fanci	61
black	Fancl	7
